family,metric,stage,horizon,n,spearman,skill_vs_reference,skill_vs_reference_ci_lo,skill_vs_reference_ci_hi,skill_vs_league,skill_vs_prior_season,reference_col
team_offense,success_rate,oppadj_raw,4,2342,0.33905521155751245,-0.07008177151842832,-0.11706462354918439,-0.030229781992113475,0.07271007702883325,0.10484667457235808,shrunk_feature
team_offense,success_rate,oppadj_shrunk,2,2721,0.24126899148588066,-0.04630890930324716,-0.07059125993425971,-0.023956178535483184,0.04700977862550482,0.0737845580318588,shrunk_feature
team_offense,success_rate,oppadj_shrunk,4,2342,0.29921867234331606,-0.07102468479559798,-0.11040858903266931,-0.033244712296015264,0.07189298622004925,0.10405790124856762,shrunk_feature
wr,adot,oppadj_raw,2,13689,0.7774029011049829,-0.05558968681943233,-0.07380453109787007,-0.03937156760645349,0.35015070663110015,-0.00026321045359467554,shrunk_feature
wr,adot,oppadj_raw,4,10002,0.8185527838020011,-0.07545778892981425,-0.10582385647702591,-0.047861935465708445,0.4222778015267913,-0.00043561948471149137,shrunk_feature
wr,adot,oppadj_shrunk,2,13689,0.7762258293206383,-0.06510771675280624,-0.08333946842444853,-0.048194523971565775,0.3442911523898079,-0.004734999067667056,shrunk_feature
wr,adot,oppadj_shrunk,4,10002,0.817009775412775,-0.08486968674443185,-0.11319078622645072,-0.058769249569687,0.417221850141961,-0.0029890766475211272,shrunk_feature
wr,catch_rate,oppadj_raw,2,13689,0.3292716330131685,0.0060076402356235015,-0.0010929720323418488,0.012981789837508391,0.053308727635750564,0.03351595644174166,shrunk_feature
wr,catch_rate,oppadj_raw,4,10002,0.418791743954023,0.011398579400321074,-0.0022406535598824863,0.025193409819235603,0.08764156238139376,0.06675268307131577,shrunk_feature
wr,catch_rate,oppadj_shrunk,2,13689,0.31720017147324375,-0.0053422196968297975,-0.01144053863232351,0.0004921326049287858,0.042498973179330934,0.01982455849640774,shrunk_feature
wr,catch_rate,oppadj_shrunk,4,10002,0.4018193436452741,-0.007789998299558176,-0.01926403095781974,0.003334018090448451,0.06993284741741412,0.0415466255483431,shrunk_feature
wr,explosive_rec_rate,oppadj_raw,2,13689,0.24072999330705672,0.0032164541474353214,-0.0016664968995329984,0.007957048142377491,0.025417455213781137,0.04499766446233322,shrunk_feature
wr,explosive_rec_rate,oppadj_raw,4,10002,0.31898750400105996,0.010992649442760571,0.0005617023055010468,0.01990872610628227,0.047091469626735716,0.08348076576922514,shrunk_feature
wr,explosive_rec_rate,oppadj_shrunk,2,13689,0.22913070390084112,-0.0084622338037188,-0.012354619088142914,-0.004674718127641895,0.013998882474937635,0.030319554424491413,shrunk_feature
wr,explosive_rec_rate,oppadj_shrunk,4,10002,0.3012299394372369,-0.011674646080042539,-0.019230443040207067,-0.004196954141262344,0.025251531579762898,0.055917222237917064,shrunk_feature
wr,target_success_rate,oppadj_raw,2,13689,0.17739375943985716,0.003075530350451716,-0.001278896397032364,0.007267478870443375,0.0156626964030796,0.037293052538609484,shrunk_feature
wr,target_success_rate,oppadj_raw,4,10002,0.24074645064006187,0.007640295436872502,-0.0011938330899407446,0.016885513480968003,0.03217097876214159,0.07044772450121439,shrunk_feature
wr,target_success_rate,oppadj_shrunk,2,13689,0.144080422024227,-0.0026885221535586368,-0.006267002661134835,0.0010864900565702713,0.009971420812679987,0.027077749370209014,shrunk_feature
